solana_address,evm_address,display_name,fomo_handle,twitter,telegram,followers,pnl_24h,wallet_type,tier
5ECuREzbvnxfrmo9cnvrcfKLgMJ7zd2ZP1C3XbPKbHhd,0x4ac3da3e752932f3ec08cf98f778a055e039f3b8,"change",change,change,,89109,98678.07639612502,kol,legendary
7TAMgUTRR2J8iUpPVuevFRFq8oX1kmhKTx4Y4BUNF9Eb,0x8eaee4a0379e2e1f7faace70222255b437b7286e,"RC",ResellCalendar,ResellCalendar,robthinks,13856,58756.35331438051,kol,legendary
G9kNVrM2Pk3CvVzne8JUEhWBTKbfXANJ6SstU7Wb9fnK,0x6ec6ccc9c6a99559ff5baead3d2b1747d1657467,"jay",_traderjay,_traderjay,,628,36882.222626127055,smart_money,elite
JPVrNNoBePhir8t7eBwTAysBsTf8VEBPbBdVb3oJu5J,0x0cd74a75b565f77b564b118a2cbe34b49cf98851,"rev",solrevv,solrevv,,441,30108.808456837316,smart_money,elite
FbNUmcixxfQ4LVtNdh5hRwMAD98QBM2sLtKNrFwChGE1,0xb0d717901a642497fe20329f99fc76090a02880b,"Eric Voorhees",erlkvoorhees,erlkvoorhees,,329,24960.72527366678,smart_money,elite
9WunTXX7PKeEngkPM6uqc7AjEsQFudNvbLWAEemioD89,0x0bf96f77708bb7b832b2019817eb47bf31a7b072,"s",svntyxsvn,svntyxsvn,,2391,23205.899546337427,smart_money,elite
H3jGitWGsrMnuvsQcCJoDfS6spJGS4AKguagaa6EnfQX,0x0b462af5fd96891bfda3829bd6eb3060b35026b6,"lesabre",lesabre,lesabre,,27012,23143.06355530226,kol,elite
6487sppMrk14kHhDfoHjnRthQwSqcKaYk9e26tukGucR,0xd985d752e6123ab1e70458550fdda1be974a790f,"KJS16",KJS16,KJS16,,3820,22524.037549766144,market_maker,elite
HeufDSztrxjDjDhcahDDAZgAD6gtWuPK7jXGcNUgGwmk,0xe07ef6e4380a31545c51f505e7bd970002db319e,"Streetjesus",Streetjesus_eth,Streetjesus_eth,,321,19759.882596137344,smart_money,pro
5iCm8CjaqdKEQJ7uBUvtw1etJxgznMCY6LEuzNwmdd2c,0x88060b2fcf17195549de822d046f912f994b7a0f,"usernametaken",usernametaken,usernametaken,,978,17146.65098202551,smart_money,pro
ExxadAeGwmrfS3NnHxEqWX3qmVTFNXhk7DmSScUpp1t3,0xbf7741d22ddc76c6bd162aa77e564c544c32cfe9,"logjam",_logjam,_logjam,,53386,16743.74921527382,kol,pro
HYmWmpbJbjzsSGu19qBKBjBaXrSrFiGzX3EFtaoPos9F,0xe40101597f4a03ebdca38f7a08eefd1dc941d058,"Dip Wheeler",DipWheeler,DipWheeler,,12067,16405.822511112485,kol,pro
Fsx4e6eVvAkec74gHRRjvCARA1dPHtfBYGnr5wW7zeKu,0x89b3353fa72a113b89936216040d25cc52ae5962,"sized in",sized_in,sized_in,,6278,15881.153804581052,market_maker,pro
EVPZtVguANq53bmoK4gBaQrzTaCXMr6ERSEpQC137QjF,0x0b54f34d42c5414bc22e934c349d3393a14b7fde,"*",onchainsorcerer,onchainsorcerer,,2335,14600.833602955734,smart_money,pro
31Zbq9r9jNdjQheg2JgFcC9W83Dzezs8njnrFi4NNyRE,0xfd877d5646e76c622125e3accabb0765e9187ff0,"teep",teepanddestroy,teepanddestroy,,1145,14599.798512136062,smart_money,pro
4rhZ9DhngHLt1HgmitVeSQcLX63sxjh16rxhPk1cNLKA,0x3d0feaa222be4e1e5b116ea0b9a61082365670b6,"MevZoid",MevZoid,MevZoid,,18871,14408.722378259194,kol,pro
4SYq4htJwgs7gn4QdTpG2pDm3xNH9MCUEA6zo5EryjEP,0x4c0a5cc50817d34569995a3cd6e31b19917e6e2f,"aaaa",holiday_inn_express,,,351,13700.856574218205,smart_money,pro
69V3ZD77v6VHmWVjdymcpX9HsepTx9fb1HTprtkLm242,0xf31b607623a173fd9810eaea970f0e2f6fe61cf8,"quinn",quinn,quinn,,3996,13067.537016689173,smart_money,pro
