wallet_address,twitter_handle,twitter_name,wallet_type,tier,pnl_7d,winrate_7d,followers,tags
BwmWvPnxBjkTgPGEfUaJpcu5g1NE91sZHLsim4xbManm,,"",fresh_wallet,legendary,2337170.67,95.8%,9,"fresh_wallet"
5ZuV8eqkvzYFVEKbLvGBdexL2tFv7E5BCd2HZpjqbdg,Humanevolvd,"Doji",whale,legendary,102728.52,57.7%,1782,"gmgn, launchpad_smart, top_followed"
9yxmCNwZcHe63NucU9yvCt7b1ja3jwP9v4T3yFMkQ1Z9,,"",whale,legendary,96371.65,55.3%,1104,"launchpad_smart"
2AqFJzcgSMQ9v7Vwh4yE7Vux8brcrjus1eg4K1zM2zUd,,"",whale,legendary,94250.57,53.0%,1172,"launchpad_smart"
22vL22PcYcoAVCwYN8iDW9VrFEYq93TCtr7a6avNVyjL,,"",whale,legendary,88922.05,49.5%,1219,"launchpad_smart"
2wHHnAmdhFaAAsayWAeqKe3snK3KkbRQkRgLwTtz7iCi,,"",whale,legendary,86763.98,54.3%,1181,"launchpad_smart"
8oEdL8WBRpE3C63FeqZ7hwSH8fjh715ZvkgmMLhDneGm,,"",whale,legendary,83190.77,49.2%,353,"launchpad_smart"
7VHRg4Wi55NtnK68VRjWwhy4x1XYF846DHWnPBXwRmnv,,"",whale,legendary,79551.81,46.7%,289,"launchpad_smart"
AKeyAhJzwy2bfLqTDR4dJ5CR2XjFpawUpZvvFRdCX4wB,,"",whale,elite,43492.66,45.5%,226,"launchpad_smart"
4vw54BmAogeRV3vPKWyFet5yf8DTLcREzdSzx4rw9Ud9,notdecu,"decu",kol,elite,41145.64,63.0%,14616,"axiom, kol, padre, photon, top_followed, top_renamed"
8ZN71XTdVo8yRovnGLmNgW3Tgniw6A4J3JGLvPD686FP,NATE9169,"nate9169654234566532",whale,elite,37533.23,90.7%,531,"axiom, launchpad_smart, photon"
E2Ccf5Twog9CtafGhGUvdVdaERBNdgVxqFjaPJwDZf9A,,"",fresh_wallet,elite,37026.62,81.5%,11,"fresh_wallet"
5FqUo9aBjsp7QeeyN6Vi2ZmF2fjS4H5EU7wnAQwPy17z,,"",whale,elite,34478.58,52.1%,238,"axiom, launchpad_smart"
HiSo5kykqDPs3EG14Fk9QY4B5RvkuEs8oJTiqPX3EDAn,,"",whale,elite,33749.64,93.3%,442,"axiom, launchpad_smart"
EwTNPYTuwxMzrvL19nzBsSLXdAoEmVBKkisN87csKgtt,,"",smart_money,elite,32092.82,46.7%,19823,"app_smart_money, smart_degen, top_followed, top_renamed"
dATMod1UTXYzvaXji4mBsvXTeAUAC73TNJQAejKS54X,,"",smart_money,elite,29565.43,28.2%,7768,"app_smart_money, axiom, smart_degen, top_followed, top_renamed"
7szNtB9WXHpUdyGiBvMRaYouBBTsL2QbTtYrig8wo2vP,,"",smart_money,elite,27187.92,61.5%,254,"padre, smart_degen"
78N177fzNJpp8pG49xDv1efYcTMSzo9tPTKEA9mAVkh2,imsheepsol,"Sheep",kol,elite,26936.71,88.4%,7690,"axiom, gmgn, kol, top_followed, top_renamed"
CZMvsfuFkCLQV6cgXkyMDvDAQ5sL3B7r6Jy69CRuBYyF,,"",whale,elite,26565.35,80.0%,138,"launchpad_smart"
FaBGrHWjcJ8vKnbgUtsdpZjvF7YAAajtQTWmmEHiKtQr,,"",whale,elite,25712.35,97.5%,680,"axiom, gmgn, launchpad_smart, padre"
B4pwFKALGHXdnxf5At4R3zZaj31TfRFKryW3Z2keEK7o,,"",whale,elite,25167.69,90.6%,48,"launchpad_smart"
G4ZWrLSqLp5kk8b2KVDafRH3ymv1FvjkpHKiyDbaRp5M,,"",whale,elite,24871.10,51.1%,1075,"axiom, launchpad_smart"
DpYuj2At1Z1tH4baoz5A1XV4AanjJa8bgbB51BWSZUyn,,"",smart_money,elite,24811.07,50.0%,112,"smart_degen"
FaPByELH1kQ4Ku5ApPLaq666c2xTpjazkMVDkWXxaT8e,,"",whale,elite,24522.98,58.4%,33,"launchpad_smart"
5jtT1P4WQVL7xRRJGtijHxkApa3fk6N5un2BJoBYj5R,,"",whale,elite,23776.74,64.2%,255,"launchpad_smart"
5ATd36Tdq6zrtHBokC5moRs9Y5EFSNaZQ12fzRmTeNWd,,"",whale,elite,23773.11,59.6%,228,"launchpad_smart"
6S8GezkxYUfZy9JPtYnanbcZTMB87Wjt1qx3c6ELajKC,nyhrox,"nyhrox",kol,elite,23592.56,39.0%,12108,"arbitrager, axiom, kol, padre, photon, top_followed, top_renamed"
4BdKaxN8G6ka4GYtQQWk4G4dZRUTX2vQH9GcXdBREFUk,jijo_exe,"jijo",kol,elite,22121.89,67.6%,39915,"kol, padre, photon, top_followed, top_renamed"
xyzfhxfy8NhfeNG3Um3WaUvFXzNuHkrhrZMD8dsStB6,,"",whale,elite,21708.10,39.9%,3755,"axiom, launchpad_smart, padre, top_followed, top_renamed"
9ryBR3SnxgGPhWsKvsfxuNHUCTt6tSpLe8wrKCShXLaq,,"",smart_money,pro,19518.97,90.4%,435,"smart_degen"
